0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:09 +0900] "GET /wgt/board/home HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:09 +0900] "GET /wgt/resources/board/img/upload/c78cad91.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:09 +0900] "GET /wgt/board/home HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:09 +0900] "GET /wgt/resources/board/img/upload/c78cad91.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:10 +0900] "GET /wgt/board/home HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:10 +0900] "GET /wgt/resources/board/img/upload/c78cad91.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:10 +0900] "GET /wgt/board/home HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:10 +0900] "GET /wgt/resources/board/img/upload/c78cad91.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:02:46 +0900] "GET /wgt/resources/board/img/redheart.png HTTP/1.1" 200 14312
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:09:58 +0900] "GET /wgt/login HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:10:04 +0900] "POST /wgt/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:10:04 +0900] "GET /wgt/user/userTest HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:10:19 +0900] "GET /wgt/login HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [13/Aug/2022:18:10:35 +0900] "GET /wgt/login HTTP/1.1" 200 1261
